year,district,state,st_cen_code,dt_cen_code,censuscode,area_km,water,vegetation,builtup,agriculture,barren
2015,East,Delhi,7,4,93,65.27,0.95,1.31,53.32,8.79,0.93
2015,South,Delhi,7,9,98,253.77,2.61,11.72,108.39,48.73,82.41
2015,Central,Delhi,7,6,95,15.1,0.28,1.69,11.88,0.99,0.26
2015,West,Delhi,7,7,96,122.12,0.28,1.86,98.01,20.09,1.89
2020,North,Delhi,7,2,91,69.08,3.15,4.68,40.55,17.19,3.51
2020,New Delhi,Delhi,7,5,94,38.5,0.38,8.32,25.41,4.02,0.37
2020,North West,Delhi,7,1,90,443.09,1.75,10.89,192.63,206.96,31.03
2020,North East,Delhi,7,3,92,62.52,0.89,0.55,47.44,10.78,2.87
2020,South West,Delhi,7,8,97,434.52,1.24,34.95,173.98,195.28,29.16
2020,East,Delhi,7,4,93,65.27,1.07,2.30,52.69,7.25,2.02
2020,South,Delhi,7,9,98,253.77,3.09,25.12,120.83,50.06,54.76
2020,Central,Delhi,7,6,95,15.1,0.25,2.40,11.18,1.16,0.11
2020,West,Delhi,7,7,96,122.12,0.47,3.86,97.88,16.77,3.15
